,ï»¿ArticleTitle,Question,Answer,DifficultyFromQuestioner,DifficultyFromAnswerer,ArticleFile,ArticleTitle
1259,,is volta buried in the city of pittsburgh,no,easy,easy,S09_set4_a10,Alessandro_Volta
1260,James_Monroe,what did james monroe do before being elected governor,he practiced law in virginia,hard,medium,S08_set3_a2,
1261,elephant,is the asian elephant larger than the african,sometimes,easy,too hard,S08_set1_a5,
1262,elephant,how many living species of asian elephants are there,one,hard,medium,S08_set1_a5,
1263,,who laid out a street plan for the expanded s10_settlement,william richardson and alcalde francisco de haro,,medium,S10_set3_a8,San_Francisco
1264,,is schloss charlottenburg the largest existing palace in berlin,schloss charlottenburg is the largest existing palace in berlin,easy,easy,S10_set3_a1,Berlin
1265,Millard_Fillmore,what is the remarkable millard fillmore,a fake biography based on real events that happened in fillmores life,medium,medium,S08_set3_a3,
1266,,how many years ago was it when he discovered that the optical properties of gold colloids differed from those of the corresponding bulk metal,162,,hard,S09_set4_a7,Michael_Faraday
1267,Millard_Fillmore,how did fillmore ascend to the presidency,official white house portrait of millard fillmorefillmore ascended to the presidency upon the sudden and unexpected death of president taylor in july 1850,hard,hard,S08_set3_a3,
1268,,how are new words formed in malay,three methods,hard,too hard,S10_set5_a2,Malay_language
1269,,who showed that avogadros theory held in dilute solutions,jacobus henricus van hoff,medium,medium,S10_set4_a8,Amedeo_Avogadro
1270,,is the flamenco guitar similar to the classical guitar,yes,easy,hard,S10_set2_a7,Guitar
1271,,why may english translation of koreans adjectives misleadingly suggest that they are verbs,english does not have an identical grammatical category,hard,too hard,S10_set5_a6,Korean_language
1272,,does the production of chemical weapons raise an ethical issue,yes,hard,easy,S09_set4_a7,Michael_Faraday
1273,,did charlesaugustin de coulomb find any relationship between electric charges and magnetic poles,no,easy,hard,S09_set4_a6,Charles-Augustin_de_Coulomb
1274,,was michael faraday an english chemist,yes,easy,easy,S09_set4_a7,Michael_Faraday
1275,duck,is a drake a male,yes,easy,medium,S08_set1_a10,
1276,,where were immigrants from in the 1800s,irish,hard,hard,S09_set3_a5,Ottawa
1277,,how does poverty in san francisco compare to the nationwide average,the citys poverty rate is 118 and the number of families in poverty stands at 74 both lower than the national average,hard,hard,S10_set3_a8,San_Francisco
1278,Abraham_Lincoln,was abraham lincoln the sixteenth president of the united states,yes,easy,easy,S08_set3_a4,
1279,,what is the earliest historical reference in europe,arnold schlicks spiegel der orgelmacher und organisten,medium,medium,S09_set2_a8,Xylophone
1280,James_Watt,is watt commemorated by statuary in george square glasgow and princes street edinburgh,yes,,easy,S08_set4_a2,
1281,beetle,what are the similarities between beetles and grasshoppers,beetles have mouthparts similar to those of grasshoppers,hard,hard,S08_set1_a8,
1282,James_Monroe,what expired on march,monroes presidency,,medium,S08_set3_a2,
1283,penguin,what makes penguins so agile in the water,their wings have become flippers,hard,hard,S08_set1_a3,
1284,otter,how much do sea otters weigh,30 kg about 65 pounds,medium,medium,S08_set1_a7,
1285,leopard,has the new zealand rugby league featured the otahuhu leopards and then the tamaki leopards,yes,,easy,S08_set1_a2,
1286,,how long has the basic design of the drum remained unchanged,thousands of years,medium,hard,S10_set2_a4,Drum
1287,,when was newtons date of birth recorded,christmas day decembeer 25 1642,medium,medium,S09_set4_a1,Isaac_Newton
1288,,how many people speak the arabic language,280 million people,medium,easy,S10_set5_a3,Arabic_language
1289,leopard,is the leopard an old world mammal,yes,easy,easy,S08_set1_a2,
1290,,is nassau range the highest mountain range in the world,no,hard,easy,S09_set3_a2,Nassau
1291,Grover_Cleveland,how many years after cleveland left office did the us win the spanishamerican war,one year,medium,medium,S08_set3_a6,
1292,Gerald_Ford,what district was ford elected from,michigans 5th congressional district,medium,medium,S08_set3_a10,
1293,,are drums usually played by the hands,yes,,easy,S10_set2_a4,Drum
1294,Theodore_Roosevelt,where was theodore roosevelt born,28 east 20th street in the modernday gramercy section of new york city,medium,medium,S08_set3_a7,
1295,kangaroo,why do kangaroos have a wide bite,because of grazing,hard,hard,S08_set1_a1,
1296,,are cellos constructed with glue,yes,easy,easy,S09_set2_a9,Cello
1297,,was volta taught in public schools,yes,easy,easy,S10_set4_a10,Alessandro_Volta
1298,leopard,what shape are a leopards black ros08_settes in east africa,circular,hard,hard,S08_set1_a2,
1299,beetle,are beetles endopterygotes with complete metamorphosis,yes,,easy,S08_set1_a8,
1300,,is one of the parts of a cymbal called a disc,no,easy,medium,S10_set2_a6,Cymbal
1301,penguin,what is also the distance that antarctic tourists are told to keep from penguins,3 meters,,medium,S08_set1_a3,
1302,,is the aburukuwa a type of drum,yes,easy,too easy,S10_set2_a4,Drum
1303,,what is an effective way to accentuate a note,the combination of a clash cymbol being accompanied by a bass drum playing an identical part played loudly,hard,hard,S09_set2_a6,Cymbal
1304,,are violas and cellos in the same family of instruments as violins,yes,easy,easy,S09_set2_a2,Violin
1305,,what is the caridoid escape reaction,when lobsters swim backwards quickly by curling and uncurling their abdomen,hard,hard,S10_set1_a5,Lobster
1306,Singapore,is it true that singapore has several long  standing disputes with malaysia,yes,,easy,S08_set2_a2,
1307,,where was isaac newton born,at woolsthorpe manor in woosthorpebycolsterworth,medium,medium,S10_set4_a1,Isaac_Newton
1308,Abraham_Lincoln,did lincoln have 18 months of schooling,yes,easy,easy,S08_set3_a4,
1309,,where are there small portuguesespeaking communities,former overseas colonies of portugal such as macau and east timor,medium,medium,S10_set5_a1,Portuguese_language
1310,James_Monroe,when did james monroe introduce the monroe doctrine,december 2 1823,medium,medium,S08_set3_a2,
1311,Singapore,which nation invaded singapore during world war ii,japan,medium,hard,S08_set2_a2,
1312,Grover_Cleveland,where was grover cleveland married,in the white house,medium,easy,S08_set3_a6,
1313,,what had the anglosaxons created by the 600s,by the 600s the anglosaxons had created a new s09_settlement called lundenwic,medium,medium,S09_set3_a1,London
1314,,did he publish his work,yes,,hard,S09_set4_a8,Amedeo_Avogadro
1315,duck,what types of unrelated water birds with similar forms are ducks sometimes confused with,loons or divers grebes gallinules and coots,medium,medium,S08_set1_a10,
1316,,do older pianos have more keys than modern pianos,many older pianos only have 85 keys,hard,hard,S10_set2_a1,Piano
1317,,appreciated during his lifetime did his fame grow in the years after his death,yes,,hard,S10_set6_a7,Vincent_van_Gogh
1318,elephant,are elephants mammals,yes,easy,easy,S08_set1_a5,
1319,,did he advise the british government on the production of chemical weapons for use in the crimean war,no,hard,hard,S10_set4_a7,Michael_Faraday
1320,Calvin_Coolidge,of what state was coolidge governor,massachus08_setts,hard,medium,S08_set3_a9,
1321,,what do some historians of science refer to faraday as,the best experimentalist in the history of science,medium,medium,S09_set4_a7,Michael_Faraday
1322,,are vowels never reduced  regardless of stress,yes,,easy,S09_set5_a4,Swahili_language
1323,duck,do ducks forage underwater,diving ducks and sea ducks forage underwater,easy,hard,S08_set1_a10,
1324,Uruguay,is uruguays capital montevideo,yes,easy,easy,S08_set2_a9,
1325,Uruguay,is the main sport in uruguay football,yes,,easy,S08_set2_a9,
1326,,which is the subsaharan indigenous language with the greatest number of speakers,hausa,hard,hard,S10_set5_a4,Swahili_language
1327,Finland,according to readers digest is finland best for living,yes,easy,easy,S08_set2_a4,
1328,,did the occult influence newtons theory of gravitation,if newton had not relied on the occult idea of action at a distance he might not have developed his theory of gravity,hard,too hard,S10_set4_a1,Isaac_Newton
1329,Singapore,was lee kuan yew a successful leader of singapore,yes,hard,too hard,S08_set2_a2,
1330,,the trumpet can be confused with what close relative,the cornet,medium,medium,S10_set2_a3,Trumpet
1331,,what is the national language in malaysia,malay,medium,easy,S10_set5_a2,Malay_language
1332,Ghana,did the dutch build the elmina castle,no,easy,easy,S08_set2_a5,
1333,Anders_Celsius,was celsius born in uppsala in sweden,yes,,easy,S08_set4_a5,
1334,,was henri becquerel one of the discoverers of radioactivity,yes,easy,easy,S09_set4_a9,Henri_Becquerel
1335,,are the most active in damascus and cairo,bad question,,,S09_set5_a3,Arabic_language
1336,Canada,are canada s official national sports ice hockey  winter  and lacrosse  summer,yes,,easy,S08_set2_a8,
1337,Ulysses_S._Grant,who did president lincoln promote of major general in the regular army effective july 4,grant,,too easy,S08_set3_a5,
1338,Canada,what is the largest religious group in canada,according to 2001 census 771 of canadians identified as being christians of this catholics make up the largest group 436 of canadians the largest protestant denomination is the united church of canada about 165 of canadians declare no religious affiliation and the remaining 63 were affiliated with religions other than christianity of which the largest is islam numbering 19 followed by judaism 11,hard,hard,S08_set2_a8,
1339,Liechtenstein,is it a winter sports resort  although it is perhaps best known as a tax haven,yes,,easy,S08_set2_a1,
1340,,what prompted the city to upgrade its building codes,earthquakes,hard,hard,S10_set3_a8,San_Francisco
1341,Qatar,how do qatar and the wider region relate,qatar is aiming to become a role model for economic and social transformation in the region large scale investment in all social and economic sectors will also lead to the development of a strong financial market,,too hard,S08_set2_a3,
1342,,where did charlesaugustin de coulomb die,charlesaugustin de coulomb died in paris,medium,medium,S09_set4_a6,Charles-Augustin_de_Coulomb
1343,,what are young swans known as,cygnets,medium,easy,S09_set1_a10,Swan
1344,Abraham_Lincoln,how many long was lincolns formal education,18 months,medium,medium,S08_set3_a4,
1345,,is the trumpeter swan the largest bird,the trumpeter swan is the largest bird of north america,easy,medium,S09_set1_a10,Swan
1346,,what is a resident of melbourne known as,a melburnian,medium,medium,S10_set3_a2,Melbourne
1347,,what is the irish legend of the children of lir about,a stepmother transforming her children into swans for 900 years,medium,medium,S09_set1_a10,Swan
1348,,is a cougar also known as a mountain lion,yes,easy,easy,S10_set1_a2,Cougar
1349,Henri_Becquerel,did he not die at the age of 55 in le croisic,yes he died at the age of 55,,easy,S08_set4_a9,
1350,,where did he publish his invention of the voltaic pile battery,the philosophical transactions of the royal society,,medium,S09_set4_a10,Alessandro_Volta
1351,,is there a chinese community in jakarta,yes,easy,medium,S10_set3_a5,Jakarta
1352,Anders_Celsius,did he not determine the dependence of the boiling of water with atmospheric pressure lrb in excellent agreement with modern data rrb,yes he did,,easy,S08_set4_a5,
1353,Anders_Celsius,the celsius crater on the moon is what,named after him,,medium,S08_set4_a5,
1354,,is it true that coulomb leaves a legacy as a hero,yes,,easy,S09_set4_a6,Charles-Augustin_de_Coulomb
1355,,is       ref swahili unusual among subsaharan languages,yes,,easy,S09_set5_a4,Swahili_language
1356,,was it likely that the xylophone reached europe during the crusades,yes,easy,easy,S10_set2_a8,Xylophone
1357,elephant,how many living species of asian elephants are there,1,hard,hard,S08_set1_a5,
1358,,has equestrianism been a long tradition popular among the tsars and aristocracy,yes,,easy,S10_set3_a10,Saint_Petersburg
1359,Indonesia,are sports in indonesia generally maleorientated and spectator sports are often associated with illegal gambling,yes,,easy,S08_set2_a10,
1360,,about how many square kilometers would be needed to house 3 female tigers,60,hard,hard,S09_set1_a3,Tiger
1361,Woodrow_Wilson,where was woodrow wilson born,woodrow wilson was born in staunton virginia,medium,medium,S08_set3_a8,
1362,Liechtenstein,what completed in november,the kunstmuseum liechtenstein,,medium,S08_set2_a1,
1363,,do arabs consider literary arabic,bad question,,,S09_set5_a3,Arabic_language
1364,,why does jakarta suffer frequent flooding,the fact that the northern part of jakarta lies on a plain approximately eight meters above the sea level,hard,hard,S10_set3_a5,Jakarta
1365,,do otters enjoy playing,yes,hard,easy,S09_set1_a7,Otter
1366,,how many years ago did he resign his appointment as intendant de eaux et fontaine,220,,hard,S09_set4_a6,Charles-Augustin_de_Coulomb
1367,,where was michael faraday born,newington butts,medium,medium,S10_set4_a7,Michael_Faraday
1368,,where was michael faraday born,michael faraday was born in newington butts,medium,medium,S10_set4_a7,Michael_Faraday
1369,,antwerp is to the east of what river,antwerp is to the east of the scheldt river,hard,too hard,S10_set3_a4,Antwerp
1370,,was his 1800  paper written in french,yes,,easy,S09_set4_a10,Alessandro_Volta
1371,,are western flutes simpler than indian flutes,yes,hard,hard,S10_set2_a5,Flute
1372,Uruguay,did uruguay host the first ever world cup,yes in 1930,easy,easy,S08_set2_a9,
1373,,what did the university of oxford grant faraday,doctor of civil law degree honorary,medium,medium,S09_set4_a7,Michael_Faraday
1374,elephant,can an elephant kill a rhinoceros,yes,easy,hard,S08_set1_a5,
1375,,when was the pan flute spread to other parts of europe,after the 7th century bc,hard,hard,S09_set2_a5,Flute
1376,Grover_Cleveland,was grover cleveland the twentyseventh president of the united states,no,easy,easy,S08_set3_a6,
1377,Romania,are there many roma in romania,no,hard,too hard,S08_set2_a7,
1378,,is the bass trumpet the smallest trumpet,no,easy,hard,S09_set2_a3,Trumpet
1379,,is 9   of the internet  population german,no,,easy,S09_set5_a2,German_language
1380,otter,how do sea otters insulate themselves,a layer of air trapped in their fur,hard,hard,S08_set1_a7,
1381,leopard,how does the distribution size of the leopard compare to the distribution of other wild cats,the leopard had the largest distribution of any wild cat,hard,hard,S08_set1_a2,
1382,,what did faraday invent that is used almost universally in science laboratories,the bunsen burner,medium,medium,S09_set4_a7,Michael_Faraday
1383,,is santiago spanish for st james   from santo   saint    iago   james,yes,,easy,S09_set3_a6,Santiago
1384,,how many cymbals typically go in a drum kit,at least 3,hard,hard,S10_set2_a6,Cymbal
1385,,what is the name of young swans,cygnets,medium,medium,S09_set1_a10,Swan
1386,Theodore_Roosevelt,who was roosevelts presidential hero,lincoln was roosevelts presidential hero,medium,medium,S08_set3_a7,
1387,,did faraday marry sarah barnard,yes faraday married sarah barnard,easy,easy,S10_set4_a7,Michael_Faraday
1388,kangaroo,was the game of marn grook played using a ball made from kangaroo by the kurnai people,yes,,easy,S08_set1_a1,
1389,James_Monroe,what is monroe doctrine,in it monroe proclaimed the americas should be free from future european colonization and free from european interference in sovereign countries affairs it further stated the united states intention to stay neutral in european wars and wars between european powers and their colonies but to consider any new colonies or interference with independent countries in the americas as hostile acts toward the united states,hard,hard,S08_set3_a2,
1390,,why did avogadro lose his chair at the university of turin,he was active in the revolutionary movements of 1821 against the king of sardinia,hard,hard,S10_set4_a8,Amedeo_Avogadro
1391,Calvin_Coolidge,what year did coolidge open his own law office,1898,medium,easy,S08_set3_a9,
1392,Millard_Fillmore,did he die at 1110 pm on march 8 1874 of the aftereffects of a stroke,yes,easy,easy,S08_set3_a3,
1393,,did alessandro volta invent the remotely operated pistol,yes,easy,easy,S10_set4_a10,Alessandro_Volta
1394,,what happened in the early 20th century,the koalas of south australia were largely exterminated,,medium,S10_set1_a3,Koala
1395,,is the population of wild giant  pandas growing,according to some reports yes,hard,hard,S10_set1_a4,Giant_Panda
1396,Abraham_Lincoln,did lincolns wifes family support slavery,yes,hard,medium,S08_set3_a4,
1397,,is malay an agglutinative language,yes,easy,easy,S10_set5_a2,Malay_language
1398,leopard,how does the distribution size of the leopard compare to the distribution of other wild cats,as of 1996 the leopard had the largest distribution of any wild cat although populations before and since have shown a declining trend and are fragmented outside of subsaharan africa,hard,hard,S08_set1_a2,
1399,,are indian concert flutes available in standard pitches,yes,easy,easy,S09_set2_a5,Flute
1400,,how old was charlesaugustin de coulomb when he died,1806,,hard,S09_set4_a6,Charles-Augustin_de_Coulomb
1401,Calvin_Coolidge,which state were coolidge born in,plymouth windsor county vermont,medium,medium,S08_set3_a9,
1402,kangaroo,what are four species that are commonly referred to as kangaroos,the red kangaroo the eastern grey kangaroo the western grey kangaroo and the antilopine kangaroo,,too hard,S08_set1_a1,
1403,leopard,felis pardus was what,one of the many species described in linnaeuss 18thcentury work systema naturae,,medium,S08_set1_a2,
1404,,when did his father die,his father died in 1651,,medium,S10_set4_a4,Blaise_Pascal
1405,,in old french was the plural  for animal animals,yes,,easy,S09_set5_a5,French_language
1406,kangaroo,have kangaroos fared well since european s08_settlement,yes,easy,easy,S08_set1_a1,
1407,Egypt,does snow fall in egypt,yes,hard,hard,S08_set2_a6,
1408,,who was avogadros wife,felicita mazz,hard,hard,S10_set4_a8,Amedeo_Avogadro
1409,Ulysses_S._Grant,did horace greenley lose in the presidential elections of 1872,si,hard,medium,S08_set3_a5,
1410,,when was the pan flute used in greece,the 7th century bc,medium,medium,S10_set2_a5,Flute
1411,beetle,is the adephaga suborder larger than the polyphaga suborder,no,hard,hard,S08_set1_a8,
1412,John_Adams,who represented the continental congress in europe,john adams,,medium,S08_set3_a1,
1413,,are testudines the crown group of the superorder chelonia,yes,easy,easy,S09_set1_a9,Turtle
1414,,where is the violincello held,on the shoulder,hard,medium,S09_set2_a9,Cello
1415,,did faraday also discover the laws of electrolysis,yes faraday also discovered the laws of  electrolysis,easy,easy,S10_set4_a7,Michael_Faraday
1416,,is there one negation word in malay,no,easy,easy,S10_set5_a2,Malay_language
1417,,what are carleton universitys athletic teams called,carleton ravens,hard,medium,S09_set3_a5,Ottawa
1418,,how long was alessandro volta a professor at the university of pavia,almost 25 years,hard,hard,S10_set4_a10,Alessandro_Volta
1419,Anders_Celsius,is it true that thermometer had 100 for the freezing point,yes,,easy,S08_set4_a5,
1420,,does the de young museum house the asian art museum,no,hard,hard,S10_set3_a8,San_Francisco
1421,,what is an otters den called,a holt,medium,medium,S09_set1_a7,Otter
1422,elephant,has tusklessness become a rare abnormality,no,hard,hard,S08_set1_a5,
1423,,what were the strings of a classical lyre made of,gut,medium,hard,S10_set2_a10,Lyre
1424,turtle,what shape are the eggs of the larest species of turtle,spherical,medium,medium,S08_set1_a9,
1425,Gray_Wolf,what type of tools do biologists use to capture wolves for tagging,darting and foot hold traps,hard,hard,S08_set1_a6,
1426,,what is the bridge used for,the transfer of string vibrations,hard,hard,S10_set2_a7,Guitar
1427,,in switzerland is ã used at all,no,,easy,S09_set5_a2,German_language
1428,,was malay language written using pallava,yes,,easy,S10_set5_a2,Malay_language
1429,,which constellation is said to resemble a lyre shape,lyra,medium,medium,S10_set2_a10,Lyre
1430,penguin,are all penguins countershaded,yes,,easy,S08_set1_a3,
1431,Finland,what is the capital city,the capital city is helsinki,medium,medium,S08_set2_a4,
1432,Uruguay,what does a citizen use to propose changes to the constitution,referendum,medium,medium,S08_set2_a9,
1433,Ulysses_S._Grant,was grant s favorite brand of bourbon whiskey old crow,yes,,easy,S08_set3_a5,
1434,polar_bear,what is polar bears skin color,white or cream,medium,easy,S08_set1_a4,
1435,,is it true that volta married the daughter of count ludovico peregrini,yes,,easy,S09_set4_a10,Alessandro_Volta
1436,Gerald_Ford,what positions ford played in the school football team,captain,medium,hard,S08_set3_a10,
1437,Gerald_Ford,did ford attend the university of michigan,yes,easy,easy,S08_set3_a10,
1438,,where is collège des quatrenations located,in paris,hard,hard,S10_set4_a6,Charles-Augustin_de_Coulomb
1439,,is it home to the parliament of malaysia,yes,easy,medium,S10_set3_a3,Kuala_Lumpur
1440,,what food gave isaac newton clues to his theory of gravity,apple,hard,hard,S10_set4_a1,Isaac_Newton
1441,,is berlin the largest city in germany,berlin is germanys largest city,easy,easy,S10_set3_a1,Berlin
1442,Millard_Fillmore,to whom was millard fillmore born to,to nathaniel and phoebe millard fillmore,medium,medium,S08_set3_a3,
1443,Ulysses_S._Grant,why did grant think that war was unjust,he thought it was designed to gain land open to slavery,hard,medium,S08_set3_a5,
1444,,did faraday lecture on education in 1854,yes,hard,hard,S09_set4_a7,Michael_Faraday
1445,Qatar,where did a suicidebombing kill a teacher in 2005,doha players theatre,medium,medium,S08_set2_a3,
1446,,do male ants take flight before females,yes male ants take flight before females,easy,easy,S10_set1_a1,Ant
1447,,why do honey bee queens continue to lay eggs during the foraging season,to replace daily casualties,hard,hard,S09_set1_a8,Bee
1448,Indonesia,is indonesia a monarchy with a presidential system,no,easy,easy,S08_set2_a10,
1449,,where is charlesaugustin de coulomb from,france,,medium,S09_set4_a6,Charles-Augustin_de_Coulomb
1450,,at what age can a zebra breed,five or six,hard,medium,S10_set1_a9,Zebra
1451,John_Adams,the john adams library  housed at the boston public library  contains what,adamss personal collection of more than 3500 volumes,,medium,S08_set3_a1,
1452,,does londons population draw from a wide range of religions,yes,easy,easy,S09_set3_a1,London
1453,,was blaise pascal a mathematician of the first order,yes,easy,easy,S09_set4_a4,Blaise_Pascal
1454,Uruguay,what did uruguay win in 1828,its independence,,medium,S08_set2_a9,
1455,Woodrow_Wilson,was wilson an automobile enthusiast,ouai,easy,easy,S08_set3_a8,
1456,,what was the name of james watts mother,agnus muirhead,easy,medium,S09_set4_a2,James_Watt
1457,duck,are diving ducks heavier tha dabbling ducks,yes,easy,easy,S08_set1_a10,
1458,,do mikrolets travel on the main roads,no,hard,medium,S10_set3_a5,Jakarta
1459,polar_bear,what is the last word on the page,ssn22,easy,too hard,S08_set1_a4,
1460,,what areas can giraffes inhabit,savannas grasslands or open woodlands,medium,medium,S09_set1_a5,Giraffe
1461,Millard_Fillmore,is fillmore the first of two presidents to have been an indentured servant,yes,,easy,S08_set3_a3,
1462,kangaroo,is a kangaroo a marsupial,yes,easy,easy,S08_set1_a1,
1463,Uruguay,is uruguays landscape mountainous,not really,hard,too hard,S08_set2_a9,
1464,,are there 622650 speakers of german in canada,yes,,easy,S09_set5_a2,German_language
1465,,where do the majority of loanwords other than sinokorean come from,modern times 90 of which are from english,hard,hard,S10_set5_a6,Korean_language
1466,,is berlin the headquarters of springer,yes berlin is the headquarters of springer,easy,medium,S10_set3_a1,Berlin
1467,,what is the order of santiago,a spanish knightly order,medium,medium,S09_set3_a6,Santiago
1468,leopard,what are dark leopards known as colloquially,black panthers,hard,hard,S08_set1_a2,
1469,Gerald_Ford,was ford an eagle scout,yes,easy,easy,S08_set3_a10,
1470,,where is the word swan derived from,the old english word swan derived from the indoeuropean root swen meaning to sound or to sing,medium,medium,S09_set1_a10,Swan
1471,Romania,how many counties is romania divided into,fortyone,medium,medium,S08_set2_a7,
1472,,what would a german call avogadros number,loschmidt number,hard,hard,S10_set4_a8,Amedeo_Avogadro
1473,,how many parts of speech are there in malay,four,medium,easy,S10_set5_a2,Malay_language
1474,Qatar,will oil and gas probably remain the backbone of qatar s economy for some time to come,yes,,easy,S08_set2_a3,
1475,Qatar,did the qataris not choose as their negotiator the respected entrepreneur and longtime resident of doha  muhammed bin thani,yes,,easy,S08_set2_a3,
1476,,when did charles ix order amati to construct 24 violins for him,1560,,medium,S10_set2_a2,Violin
1477,beetle,can beetles be found in polar regions,no,easy,hard,S08_set1_a8,
1478,,who discovered benzene,michael faraday,medium,medium,S10_set4_a7,Michael_Faraday
1479,,is the current estimated population of nairobi about 6 milion,no,easy,easy,S10_set3_a9,Nairobi
1480,,whom are guitars made and repaired by,luthiers,medium,easy,S10_set2_a7,Guitar
1481,,was henri becquerel a french physicist,yes,easy,easy,S09_set4_a9,Henri_Becquerel
1482,,who left verroccios studio,leonardo da vinci left verroccios studio,,medium,S10_set6_a3,Leonardo_da_Vinci
1483,,what are the oldest known musical instruments,a threeholed flute made from a mammoth tusk and two flutes made from swans bones are among the oldest known musical instruments,hard,hard,S09_set2_a5,Flute
1484,,is finnish threatened by english,no,easy,easy,S10_set5_a5,Finnish_language
1485,,was old chinese wholly uninflected,no,,easy,S09_set5_a7,Chinese_language
1486,,how many siblings did faraday have,faraday had three siblings,hard,hard,S10_set4_a7,Michael_Faraday
1487,,how many noun classes does swahili have,sixteen,hard,hard,S10_set5_a4,Swahili_language
1488,beetle,who or what vary greatly in form within the coleoptera,antennae,,easy,S08_set1_a8,
1489,Calvin_Coolidge,what caused calvin jrs death,heart attack,hard,easy,S08_set3_a9,
1490,,when did nikola tesla appear on the cover of time magazine,on teslas 75th birthday in 1931 time magazine put him on its cover,medium,hard,S10_set4_a3,Nikola_Tesla
1491,,what material is a chi flute fashioned from,lacquered bamboo,hard,hard,S10_set2_a5,Flute
1492,,which building is the site of the german parliament,the reichstag building,medium,medium,S10_set3_a1,Berlin
1493,Uruguay,who heavily influenced the architecture and culture of montevideo,european immigrants,medium,medium,S08_set2_a9,
1494,,a year before improving and popularizing the electrophorus what did volta become,a professor of physics at the royal school in como,hard,hard,S10_set4_a10,Alessandro_Volta
1495,John_Adams,what information did he record in his diary,he wrote descriptions of events and impressions of men,hard,medium,S08_set3_a1,
1496,,egyptian arabic is spoken by how many in egypt,76 million,medium,medium,S10_set5_a3,Arabic_language
1497,,does the name nairobi come from the maasai phrase enkare nyirobi which translates to the place of cool waters,yes,,easy,S10_set3_a9,Nairobi
1498,,is faraday best known for his work with kinematics,no,easy,easy,S10_set4_a7,Michael_Faraday
1499,elephant,how much do elephants weight at birth,120 kilograms,hard,medium,S08_set1_a5,
1500,Singapore,did the media contribute 156 to singapores gdp in 2001,no it contributed 156 to gdp in 2001,easy,medium,S08_set2_a2,
1501,,what language was used in the zhou and southern dynasties,old chinese was the language common during the early and middle zhou dynasty,hard,medium,S10_set5_a7,Chinese_language
1502,,can a flute be played with several different air sources,yes,easy,easy,S10_set2_a5,Flute
1503,,do picks come in many shapes and sizes,yes,easy,easy,S10_set2_a7,Guitar
1504,,do butterflies have two eyes,yes butterflies have two eyes,easy,easy,S10_set1_a6,Butterfly
1505,,what was the faraday effect first called,diamagnetism,hard,hard,S09_set4_a7,Michael_Faraday
1506,,what is caching food,burying it for later consumption,hard,hard,S09_set1_a6,Fox
1507,turtle,these projections  called papillae  have what,a rich blood supply,,medium,S08_set1_a9,
1508,,what is the battery made by alessandro volta credited as,the first electrochemical cell,medium,medium,S10_set4_a10,Alessandro_Volta
1509,,do ants thrive in most ecosystems,yes,,easy,S10_set1_a1,Ant
1510,duck,is a drake a male,yes,easy,easy,S08_set1_a10,
1511,Romania,why wasnt romania neutral during world war ii,it received a soviet ultimatum,hard,hard,S08_set2_a7,
1512,,what happens when the center of a cymbal is hit,it causes a sound which is in a higher register than the rest of the cymbal,hard,hard,S09_set2_a6,Cymbal
1513,James_Monroe,was james monroe president of the united states,yes,easy,easy,S08_set3_a2,
1514,Singapore,where did orang laut people live,several hundred indigenous orang laut people also lived around the coast rivers and smaller islands,medium,medium,S08_set2_a2,
1515,,is the koala found in coastal regions of eastern and southern australia from near adelaide to the southern part of cape york peninsula,yes,,easy,S10_set1_a3,Koala
1516,,do the different species of zebras interbreed,no,easy,easy,S10_set1_a9,Zebra
1517,kangaroo,different species of kangaroos eat what,different diets,,medium,S08_set1_a1,
1518,,when was michael faraday born,september 22 1791,,easy,S09_set4_a7,Michael_Faraday
1519,,are pocket trumpets compact b trumpets,yes,easy,easy,S10_set2_a3,Trumpet
1520,,does a  tz indicate that the preceding vowel is short,no,,easy,S09_set5_a2,German_language
1521,,is the most popular sport in montreal ice hockey,yes the most popular sport in montreal is ice hockey,easy,easy,S10_set3_a7,Montreal
1522,,how many children did avogadro have,six,medium,medium,S09_set4_a8,Amedeo_Avogadro
1523,,how many townships are in ottawa,eleven,medium,easy,S09_set3_a5,Ottawa
1524,Singapore,what is the punishment for firstdegree murder,there are laws which allow capital punishment in singapore for firstdegree murder and drug trafficking,hard,hard,S08_set2_a2,
1525,,was isaac newton religious,it is not clear,easy,too hard,S10_set4_a1,Isaac_Newton
1526,Calvin_Coolidge,in 1905 coolidge met and married whom,grace anna goodhue,medium,medium,S08_set3_a9,
1527,Ghana,what european countries established states in ghana,portugual france britain netherlands,hard,hard,S08_set2_a5,
1528,,did nikola tesla die alone,yes,easy,easy,S10_set4_a3,Nikola_Tesla
1529,Canada,which countries established colonies in canada,fance and britain,hard,hard,S08_set2_a8,
1530,,who was a farmer and later a land surveyor for the government,leroy pollock was a farmer and later a land surveyor for the government,,medium,S10_set6_a9,Jackson_Pollock
1531,,what were some other names of the city,petrograd leningrad and piter,medium,hard,S10_set3_a10,Saint_Petersburg
1532,,are most eels predators,yes,easy,easy,S10_set1_a8,Eel
1533,,is avogadros number used to compute the results of chemical reactions,yes avagadros number is used to compute the results of chemical reactions,easy,easy,S10_set4_a8,Amedeo_Avogadro
1534,,is amedeo avogadro italian,yes,hard,easy,S10_set4_a8,Amedeo_Avogadro
1535,,is the dragonfly associated with late summer as well as early autumn,yes,,easy,S10_set1_a7,Dragonfly
