Question,Answer,Predictive Answer
did he share the nobel prize in physics,yes,yes 
what did the legal tender act of 1862 establish,the united states note the first paper currency in united states history,the largest primarily frenchspeaking city in the western world is paris 
the district is bordered to the southwest by uhuru park and where,central park,university of turin 
what is the swahili word for the swahili language,kiswahili,kiswahili is the swahili word for the wild are hunted for food or sport by shooting or formerly by decoys 
did his mother die of pneumonia,no,no 
hassan massoudy is a master of what genre,arabic calligraphy,arabic was born 
what happened with a bromide emulsion in two sheets of very thick black paper,the plate does not become clouded upon being exposed to the sun for a day,the volt 
what was given by aristotle for the hardened shield like forewings,the name coleoptera,the largest primarily frenchspeaking 
what happened in 1865,he accepted the surrender of robert e lee,he invented the sea level 
where was much of montreals industry during the late 19th and earlytomid 20th century,the sudouest borough was home to much of the citys industry during the late 19th and earlytomid 20th century,the west irian liberation statue is one of the many sukarno era monuments in the city 
was anders celsius november 27 1701 april 25 1744 a swedish astronomer,yes,yes 
who was blaise pascals father,his father ãtienne pascal 1588â1651 who also had an interest in science and mathematics was a local judge,his date of birth was close friends with mark twain 
are the largest turtles aquatic,yes,yes 
did lincoln beat john c breckinridge in the 1860 election,yes,yes 
is malay the official language of iraq,no,no 
what is largest polar bear on record,a huge male allegedly weighing 1002 kg 2200 lb shot at kotzebue sound in northwestern alaska in 1960,a luthier 
was volta buried where he died or was he buried someplace else,yes,yes 
was taipei founded in the 18th century,yes,yes 
when did lincoln begin his political career,1832,1832 
was faraday a devout christian,yes,yes 
when did roosevelt die,on january 6 1919 roosevelt died in his sleep,1908 
who was the general in charge at the battle of antietam,john alexander mcclernand,john lubbok 
is egypt in asia,no,no 
when did he die,1908,1908 
who manages candlestick point,california state park system,physisist 
what is the largest ethnic minority in romania,hungarians,eleven 
are the javanese the largest and politically dominant ethnic group in indonesia,yes,yes 
today are there more cell phone subscriptions than people in finland,yes,yes 
are ants found in antartica,no there are no ants in antarctica,no 
is vietnam independent from france,yes,yes 
what is nassau coliseum,an arena in uniondale new york usa,an adult cougars paw print is approximately 10 cm 4 inches long 
what makes penguins so agile in the water,smooth plumage preserves a layer of air ensuring buoyancy wings are flippers,its tongue 
when do wolves molt,late spring or early summer,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly to beetles 
what is an otters den called,holt,a luthier 
did alessandro volta live to be 80 years old,no,no 
what do leptocephali eat,leptocephali eat small particles called marine snow,they are food to beetles 
is montreals economy the third largest of all cities in canada,no montreals economy is the second largest of all cities in canada,yes 
why are relations with malaysia and indonesia important,due to obvious geographical reasons relations with malaysia and indonesia are most important,yes 
did he experiment with individual cells,yes,yes 
does exposure to air cause the larva to begin breathing,yes capitalization,yes 
what has the most effect on how a drum sounds,the drumhead,the federalist party 
who did james monroe live with in new york city,his daughter maria hester monroe gouverneur,in 1451 berlin gave up its status as a free hanseatic city 
did woodrow wilson create the league of nations,yes,no 
where is the largest gray wolf population thought to be found,kazakhstan,from g3 to c8 
do many such drums have six to ten tension rods,yes,yes 
what are some annual festivals in taipei,the lantern festival tombsweeping day dragon boat festival and the midautumn festival,the volt 
is a kangaroo on the australian coat of arms,yes,yes 
what do river otters eat,river otters eat a variety of fish and shellfish as well as small land mammals and birds,a luthier 
where is melbourne situated,boundary of the very hot inland areas and the cold southern ocean,antwerp is a municipality 
what is the estimated population of egypt,more than 78 million,more than 78 million 
is turtle soup considered a delicacy,yes,yes 
what are the three cat species that are native to canada,the three cat species that are native to canada are the cougar the bobcat and the canadian lynx,the three heaviest cats in the world are the tiger lion and jaguar 
did johann josef loschmidt first calculate the value of avogadros number,yes,yes 
are drums often used in music therapy,yes,yes 
who is the mayor of montreal,the mayor is gãrald tremblay,the city lima 
what is the largest living species of penguin,emperor penguin,the emperor penguin aptenodytes forsteri 
are ducks an accepted presence in some populated areas,yes,yes 
had monroe racked up many debts during his years of public life,yes,yes 
do most japanese people employ politeness,yes,yes 
is finnish an official language of the european union,yes,yes 
in what year did east timor secede from indonesia,1999,pleurodira 
is the leopard lrb panthera pardus rrb an old world mammal of the felidae family and the smallest of the four   big cats   of the genus panthera  along with the tiger  lion  and jaguar,yes,yes 
are harvesting wild turtles legal anywhere,yes,yes 
which state were coolidge born in,vermont,paris 
can you meet someone through attending a church,yes,yes 
how long is polar bears guard hair,515 cm,two 
name four related articles for the article on turtles,triassic ernst haeckel kunstformen der natur animal,triassic ernst haeckel kunstformen der orgelmacher 
do octopuses have two eyes and four pairs of arms,yes octopuses have two eyes and four pairs of arms,yes 
how many groups are turtles broken down into,two,two 
what was the nickname of theodore roosevelts sister anna,bamie as a child and bye as an adult,pleurodira 
who was president when wilson finished congressional government,grover cleveland,grover cleveland 
have larger kangaroos adapted much better to changes,yes,yes 
is the leopard one of the four big cats,yes,yes 
do sea otters have long muscular tails,no,no 
who did alessandro volta marry,teresa peregrini,elizabeth kortright 
is a guitar played with a plectrum like a lyre,yes,yes 
did pascal also write in defense of the scientific method,yes,yes 
what was founded by the spanish in the early 18th century as a military stronghold,montevideo,in 1776 the spanish established a fort at the golden gate and a mission named for francis of assisi on the site 
are there also discussions of having oc transpo light rail and sto transitway networks linking on the gatineau side of the ottawa river,yes,yes 
who first calculated the value of avogadros number,johann josef loschmidt,johann josef loschmidt first calculated the value of avogadros number 
what languages has malay borrowed words from,arabic sanskrit tamil persian portuguese dutch certain chinese dialects and english,in many areas wild ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
do drums consist of at least one membrane called a drumhead or drum skin that is stretched over a shell and struck either directly with parts of a players body or with some sort of implement such as a drumstick to produce sound,yes,yes 
did john adams support the stamp act of 1765,no,yes 
what is avogadros number,602214199x10 23,602214199x10 23 
how many total keys does a typical modern piano have,88 keys,six 
which came first the xylophone or the vibraphone,xylophone,the city lima 
where was the oldest flute ever discovered found,germany,in all oceans 
what is the most densely populated independent country in the world,monaco,the largest primarily frenchspeaking city in the western world is paris 
if charlesaugustin de coulomb was alive today how old would he have been,273,no 
which two sports events did the olympiastadion host,the 1936 summer olympics and the 2006 fifa world cup final,the west irian liberation statue one of the many sukarno era monuments in the city 
is an official language of canada german,no it is not,no 
what roman province was liechtenstein part of,raetia,brass 
who is the most popular rock group in finland,cmx,cmx 
where do wolves have scent glands,between a wolfs toes,in many areas wild ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
how long do most foxes live,most foxes live 2 to 3 years but they can survive for up to 10 years or even longer in captivity,sea otters have some 200000 hairs per square cm of skin a rich fur for which humans hunted them almost to extinction 
what is a country with which finland is involved in an international conflict,none,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
did the media contribute 156 to singapores gdp in 2001,no,no 
where was theodore roosevelt born,a fourstory brownstone at 28 east 20th street in the modernday gramercy section of new york city,a rich fur 
are penguins afraid of humans,no,yes 
is the electric eel a true eel,no,no 
is the purfling just for decoration,no,no 
what is the standardized form of spoken chinese,the standardized from of spoken chinese is standard mandarin,the volt 
what do river otters eat,a variety of fish and shellfish as well as small land mammals and birds,a polar bears skin 
what is the definition of the electrostatic force of attraction and repulsion,coulombs law is the definition of the electrostatic force of attraction and repulsion,pleurodira 
is egypt the most populated country in africa,no,no 
are his last words often quoted as  thomas jefferson survives,yes,yes 
what is ottawas major league hockey team,the ottawa senators,the most common cymbals are the hihats crash splash ride and china 
what is the most basic form of the flute,open tube which is blown like a bottle,daerah khusus 
what is the name of a specialized species of duck adapted to catch large fish,the smew,the largest primarily frenchspeaking city in the western world is paris 
is it the world s second largest country by total area,yes,yes 
how many species of beetles are there,about 350000,78 million 
how heavy was the largest polar bear on record,he allegedly weighed 1002 kg,he was english 
where does the word otter derive from,the word otter derives from the old english word otr otor or oter,the largest primarily frenchspeaking 
in what year did germany seize tanganyika,germany seized tanganyika in 1886,pleurodira 
did james watt improve an engine,yes his improvements to the newcomen steam engine were fundamental to the changes brought by the industrial revolution,yes 
what is located at the end of the guitar neck furthest from the body,headstock,it is also the name of a baseball catcher a film director a guitarist an economist a footballer a dj an actor and james son of zebedee fictional on the 
give an example of the official languages of the special administrative region of macau and east timor,portuguese,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
was coolidge opposed in the republican nomination for governor of massachus08_setts in 1918,no,no 
why was the capital of uruguay founded,uruguays capital montevideo was founded by the spanish in the early 18th century as a military stronghold,yes 
what are some economic uses for duck,being farmed for their meat eggs feathers particularly their down,in many areas wild ducks farmed and released into the wild are hunted for food or sport by shooting or formerly woodlands 
how is south china linguistically different from north china,south china displays more linguistic diversity,because they are born with brown rather than black plumage 
did theodore roosevelt go to harvard,yes,yes 
was charlesaugustin de coulomb a spanish biologist,no,no 
what was amedeo avogadros profession,professor of physics,physisist 
did the economy improve in jakarta in 2007,yes,yes 
with what party did adams run for presidency,the federalist party,the federalist party 
is finnish an official language of the european union,yes finnish is an official language of the european union,yes 
who wrote about ants in a tramp abroad,mark twain wrote about ants,mark twain 
what is the origin of the name santiago,sanit  iago james,santiago is spanish for st james it is also the name of a baseball at the golden gate and a mission named for francis of assisi on the site 
did faraday lecture on education in 1854,yes,yes 
is singapore a citystate,yes,yes 
what are the reasons for hunting wild ducks,meat eggs and feathers,meat 
is it the world s fourth most populous country and the most populous muslimmajority nation,yes,yes 
what is the sanskrit word for swan,hamsa or hansa,hamsa or hansa 
when did john adams serve as vice president,17891797,march 4 1861 
are wolves built for stamina,yes,yes 
are violinists and fiddlers the same thing,yes,yes 
where is michael faraday buried,michael faraday is buried in the dissenters section of highgate cemetery,most adult 
did lincoln sign the national banking act of 1863,yes,yes 
does vietnamese have a large number of vowels,yes vietnamese has a comparatively large number of vowels,yes 
where is the leopard distributed,southern eurasia and africa,southern eurasia 
what are most electric guitar bodies made of,wood,brass tubing bent twice into an oblong shape 
in 1908 the year  of his death was becquerel elected permanent secretary  of the acadãmie  des  sciences,yes,yes 
where was commodore matthew c perry sent to open japan to western trade,commodore matthew c perry send to japan,taipei produces high technology and hitech components 
has urbanization eliminated many areas of former primary rainforest  with the only remaining area of primary rainforest being bukit timah nature reserve,yes,yes 
does swahili have dipthongs,yes swahili has diphthongs typo,yes 
is melbourne the capital and most populous city in the state of victoria,yes,yes 
who assassinated lincoln,john wilkes booth,john agyekum kufuor 
what are the three sections of a beetle,the head the thorax and the abdomen,the three heaviest cats in the world are the tiger lion and jaguar 
what is the second main orchestral use of cymbals,the suspended cymbal,the suspended cymbal 
what are the names of the two zoos in berlin,zoologischer garten berlin and tierpark friedrichsfelde,the volt 
approximately how many species of testudines are alive today,300,three 
whats the main highway in ottawa,highway 417 the queensway,john adams 
what are some common predators of ducks,pike crocodilians and other aquatic hunters,they are food to beetles 
who dismantled partisan and sectional coalitions,many congressmen,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly woodlands 
loschmidt calculated first the value of what,avogadros number,avogadros number 
was another primary objective of fillmore to preserve the union from the intensifying slavery debate,yes,yes 
are upright pianos called vertical pianos,yes,yes 
did charlesaugustin de coulomb live to be 80 years old,no,no 
who took a hard line that reduced violence by groups like the ku klux klan,grant,a polar bears skin 
where was much of montreals industry during the late 19th and earlytomid 20th century,the sudouest borough was home to much of the citys industry during the late 19th and earlytomid 20th century,the west irian liberation statue is one of the many sukarno era monuments in the city 
what had the anglosaxons created by the 600s,a new s09_settlement called lundenwic,the government 
did amedeo avogadro graduate,yes,yes 
who boasted a sizeable community of 100000 by 1869,british india office,british east india company 
who has its own political legislature and governor,each province,yes 
can citizens propose changes to the constitution,yes,yes 
does the world conservation union consider the cougar a least concern species,the world conservation union iucn currently lists the cougar as a least concern species,yes 
what does the word duck mean,to bend down low as if to get under something,in many areas wild ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
why does arabic heavily influence european languages,arabic was a major vehicle of culture in europe and the arab and european civilizations are geographically close,yes 
did albert einstein keep a photograph of faraday on his study wall,yes,yes 
why is it beneficial for alpha males and females to forcefully prevent other wolves from mating,the pack tension rises as each mature wolf feels urged to mate,the government seeks to increase its gdp contribution to 3 by 2012 
how many municipalities is liechtenstein divided into,11,two 
does the koala fill the same ecological role as the sloth of south america,the koala fills the same ecological role as the sloth of south america,yes 
where is the james watt memorial college,the james watt memorial  is in greenock,in greenock 
is there a more industrialized region in malaysia,no,no 
what is a violin called informally,a fiddle,a luthier 
does ghana have twice the per capita output of the poorer countries in west africa,yes,yes 
do carrion beetles eat dung,no,no 
what are deposited in holes dug into mud or sand,eggs,much vocabulary has been a battle of santiago de cuba a couple of bands named santiago an order of santiago and santiago as a shortened form of the reconquista battle 
copenhagen is ranked number one worldwide for which things,most livable city in the world,yes 
is an asian elephant smaller than an african elephant,yes,yes 
is the kangaroo an herbivour,yes,yes 
is the study of beetles called coleopterology  and its practitioners are coleopterists,yes,yes 
whose ideas inspired charlesaugustin de coulombs experiments on the resistance of masonries,pieter van musschenbroek,yes 
who was the sponsor and mentor of faraday,john mad jack fuller,john mad jack 
is it true that japanese borrowed a considerable number of words,yes,yes 
as of august 1st 2006 how many trains stop daily at the beijing railway station or the beijing west railway station,167,yes 
was isaac newton british,yes,yes 
where is the mouth of an octopus,the octopus mouth is at the center point of the arms,the octopus mouth is at the center point of the arms 
who heavily influenced the architecture and culture of montevideo,european immigrants,european immigrants 
wasnt leonardo da vinci valued as an engineer,no,no 
when did islam become the dominant religion in java and sumatra,by the end of the 16th century,by the spanish established a fort at the golden gate and a mission named for francis of assisi on the site 
is it advantageous for a grand pianos metal plate to be quite massive,yes,it is not clear 
had the drums been used in sri lanka since before christ,yes,yes 
is the ant a marsupial,no,no 
is it true that he shared the nobel prize in physics,yes,yes 
what is an example of something an octopus learned in a research experiment,in research experiments octopus can be trained to distinguish between different shapes and patterns,in 1451 berlin gave up its status as a free hanseatic city 
did his mother die of pneumonia,no,no 
is a kangaroo a reptile,no,no 
is liechtenstein heavily urbanized,no,no 
is it true that france signed the european charter for regional languages,yes,yes 
was nairobi founded in 1899,yes,yes 
what does the air stream across this hole create,a bernoulli or siphon,a polar bears skin 
who was born precisely at midnight during an electrical storm  to a serbian family in the village of smiljan near gospiä  in the lika region of the croatian krajina in military frontier  part of the austrian empire   in the presentday croatia,nikola tesla,yes 
how long is a leopards tail,60 to 110cm,meat 
do all ants build nests,no not all ants build nests,no 
what is the name of the largest church in montreal,saint josephs oratory is the largest church in montreal,the largest primarily frenchspeaking city in the western world is paris 
is he best known for cofounding the cubist movement and for the wide variety of styles embodied in his work,yes,yes 
what happened in recent years,his reputation as president has improved,his date of birth was born 
do all ducks quack,no,no 
when do african elephants lie down,when they are sick or wounded,they are food to beetles 
are books magazines and newspapers written in english available,yes,yes 
what is the arabic word for municipalities,baladiyah,the largest primarily frenchspeaking 
what do leptocephali eat,marine snow,they are food to beetles 
why did lincoln issue the emancipation proclamation,the goal was to weaken the rebellion which was led and controlled by slave owners,the west irian liberation statue is one of the many sukarno era monuments in the city 
does the gendarmenmarkt border the french cathedral,yes the gendarmenmarkt borders the french cathedral,yes 
did alessandro volta die and retire in the same place,yes,yes 
what airports does kuala lumpur have,kuala lumpur international airport and subang international airport,they are food to beetles 
what was grants political affiliation,republican,in many areas wild ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
is romania lrb  rrb a country in southeastern europe,yes,yes 
was watt a gentleman greatly respected by other prominent men of the industrial revolution,yes,yes 
does the diet of foxes include reptiles,yes,yes 
what is the population of copenhagen,1161063,pleurodira 
how are westernstyle xylophones characterised,by a bright sharp tone and high register,by their hardened 
when did john adams serve as vice president,17891797,march 4 1861 
is modern korean written in columns or rows,it is written in rows,it is not clear 
where is old ghana in relation to present ghana,500 miles north of the present ghana and occupied the area between rivers senegal and niger,its tongue 
is lima the capital of peru,yes,yes 
interaction with what man stirred up newtons interest in alchemy,the contact with the theosophist henry more revived his interest in alchemy,the volt 
give an example of the largest stadiums anywhere in the world and the home to fc zenit st petersburg in 19501993 and 1995,kirov stadium now demolished was one of the largest stadiums anywhere in the world and the home to fc zenit st petersburg in 19501993 and 1995,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
where was woodrow wilson born,staunton virginia,paris 
where is there a newton statue on display,oxford university museum of natural history,its tongue 
what are cymbals made of,brass,brass tubing bent twice into an oblong shape 
did the moche people worship lobsters,yes,yes 
when did the first educational works appear for the cello,the 18th century,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food 
is volta buried in the city of pittsburgh,no,no 
what did james monroe do before being elected governor,he practiced law in virginia,he invented his appointment as intendent des eaux et fontains 
is the asian elephant larger than the african,sometimes,no 
how many living species of asian elephants are there,one,78 million 
who laid out a street plan for the expanded s10_settlement,william richardson and alcalde francisco de haro,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting as natural or ecological 
is schloss charlottenburg the largest existing palace in berlin,schloss charlottenburg is the largest existing palace in berlin,yes 
what is the remarkable millard fillmore,a fake biography based on real events that happened in fillmores life,in a log cabin in summerhill new york 
how many years ago was it when he discovered that the optical properties of gold colloids differed from those of the corresponding bulk metal,162,three 
how did fillmore ascend to the presidency,official white house portrait of millard fillmorefillmore ascended to the presidency upon the sudden and unexpected death of president taylor in july 1850,sea otters have some 200000 hairs per square cm of skin a rich fur for which humans hunted them almost to extinction 
how are new words formed in malay,three methods,three heaviest 
who showed that avogadros theory held in dilute solutions,jacobus henricus van hoff,jacobus henricus van t 
is the flamenco guitar similar to the classical guitar,yes,yes 
why may english translation of koreans adjectives misleadingly suggest that they are verbs,english does not have an identical grammatical category,english 
does the production of chemical weapons raise an ethical issue,yes,yes 
did charlesaugustin de coulomb find any relationship between electric charges and magnetic poles,no,no 
was michael faraday an english chemist,yes,yes 
is a drake a male,yes,yes 
where were immigrants from in the 1800s,irish,yes 
how does poverty in san francisco compare to the nationwide average,the citys poverty rate is 118 and the number of families in poverty stands at 74 both lower than the national average,the government seeks to increase its gdp contribution to 3 by 2012 
was abraham lincoln the sixteenth president of the united states,yes,yes 
what is the earliest historical reference in europe,arnold schlicks spiegel der orgelmacher und organisten,christian 
is watt commemorated by statuary in george square glasgow and princes street edinburgh,yes,yes 
what are the similarities between beetles and grasshoppers,beetles have mouthparts similar to those of grasshoppers,by their hardened often darkened head the presence of chewing mouthparts and spiracles along the sides of the body 
what expired on march,monroes presidency,pleurodira 
what makes penguins so agile in the water,their wings have become flippers,its tongue 
how much do sea otters weigh,30 kg about 65 pounds,sea otters enhydra lutris live along the pacific coast of north america 
has the new zealand rugby league featured the otahuhu leopards and then the tamaki leopards,yes,yes 
how long has the basic design of the drum remained unchanged,thousands of years,over 300 languages are spoken in london 
when was newtons date of birth recorded,christmas day decembeer 25 1642,his date of birth was recorded as christmas day 
how many people speak the arabic language,280 million people,over two hundred 
is the leopard an old world mammal,yes,yes 
is nassau range the highest mountain range in the world,no,yes 
how many years after cleveland left office did the us win the spanishamerican war,one year,one 
what district was ford elected from,michigans 5th congressional district,pleurodira 
are drums usually played by the hands,yes,yes 
where was theodore roosevelt born,28 east 20th street in the modernday gramercy section of new york city,a log cabin in summerhill new york 
why do kangaroos have a wide bite,because of grazing,the government seeks to increase its gdp contribution to 3 by 2012 
are cellos constructed with glue,yes,yes 
was volta taught in public schools,yes,yes 
what shape are a leopards black ros08_settes in east africa,circular,over 300 languages are spoken in london 
are beetles endopterygotes with complete metamorphosis,yes,yes 
is one of the parts of a cymbal called a disc,no,no 
what is also the distance that antarctic tourists are told to keep from penguins,3 meters,in many areas wild ducks of various species including ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
is the aburukuwa a type of drum,yes,yes 
what is an effective way to accentuate a note,the combination of a clash cymbol being accompanied by a bass drum playing an identical part played loudly,the federalist party 
are violas and cellos in the same family of instruments as violins,yes,yes 
what is the caridoid escape reaction,when lobsters swim backwards quickly by curling and uncurling their abdomen,the largest primarily frenchspeaking city in the western world is paris 
is it true that singapore has several long  standing disputes with malaysia,yes,yes 
where was isaac newton born,at woolsthorpe manor in woosthorpebycolsterworth,at the battle of trenton in his left shoulder 
did lincoln have 18 months of schooling,yes,yes 
where are there small portuguesespeaking communities,former overseas colonies of portugal such as macau and east timor,the slide down snowy slopes apparently for sheer enjoyment 
when did james monroe introduce the monroe doctrine,december 2 1823,in 1451 berlin gave up the battle of singapore 
which nation invaded singapore during world war ii,japan,it was formed as a federal semiautonomous polity 
where was grover cleveland married,in the white house,in the white nights festival in saint petersburg 
what had the anglosaxons created by the 600s,by the 600s the anglosaxons had created a new s09_settlement called lundenwic,the largest primarily frenchspeaking city in the western world 
did he publish his work,yes,yes 
what types of unrelated water birds with similar forms are ducks sometimes confused with,loons or divers grebes gallinules and coots,loons or divers grebes gallinules and coots 
do older pianos have more keys than modern pianos,many older pianos only have 85 keys,no letters survive in which he might have discussed his religious beliefs 
appreciated during his lifetime did his fame grow in the years after his death,yes,yes 
are elephants mammals,yes,yes 
did he advise the british government on the production of chemical weapons for use in the crimean war,no,no 
of what state was coolidge governor,massachus08_setts,in 1776 the spanish established a fort at the golden gate and a mission named for francis of assisi on the site 
what do some historians of science refer to faraday as,the best experimentalist in the history of science,best experimentalist in the history of science 
are vowels never reduced  regardless of stress,yes,yes 
do ducks forage underwater,diving ducks and sea ducks forage underwater,no 
is uruguays capital montevideo,yes,yes 
is the main sport in uruguay football,yes,yes 
which is the subsaharan indigenous language with the greatest number of speakers,hausa,the city lima 
according to readers digest is finland best for living,yes,yes 
did the occult influence newtons theory of gravitation,if newton had not relied on the occult idea of action at a distance he might not have developed his theory of gravity,yes 
was lee kuan yew a successful leader of singapore,yes,yes 
the trumpet can be confused with what close relative,the cornet,the revolution caused coulomb to resign his appointment as intendent des eaux et fontains 
what is the national language in malaysia,malay,jakarta lies on a plain eight meters above sea 
did the dutch build the elmina castle,no,no 
was celsius born in uppsala in sweden,yes,yes 
was henri becquerel one of the discoverers of radioactivity,yes,yes 
are the most active in damascus and cairo,bad question,yes 
are canada s official national sports ice hockey  winter  and lacrosse  summer,yes,yes 
who did president lincoln promote of major general in the regular army effective july 4,grant,yes 
what is the largest religious group in canada,according to 2001 census 771 of canadians identified as being christians of this catholics make up the largest group 436 of canadians the largest protestant denomination is the united church of canada about 165 of canadians declare no religious affiliation and the remaining 63 were affiliated with religions other than christianity of which the largest is islam numbering 19 followed by judaism 11,the three heaviest cats in the world are the tiger lion and jaguar 
is it a winter sports resort  although it is perhaps best known as a tax haven,yes,yes 
what prompted the city to upgrade its building codes,earthquakes,the largest primarily frenchspeaking city in the western world is paris 
how do qatar and the wider region relate,qatar is aiming to become a role model for economic and social transformation in the region large scale investment in all social and economic sectors will also lead to the development of a strong financial market,the largest primarily frenchspeaking city in the western world 
where did charlesaugustin de coulomb die,charlesaugustin de coulomb died in paris,1908 
what are young swans known as,cygnets,in many areas wild ducks farmed and released into the wild are hunted for food or sport by shooting or formerly by decoys 
how many long was lincolns formal education,18 months,18 months 
is the trumpeter swan the largest bird,the trumpeter swan is the largest bird of north america,it is not clear 
what is a resident of melbourne known as,a melburnian,a luthier 
what is the irish legend of the children of lir about,a stepmother transforming her children into swans for 900 years,a luthier 
is a cougar also known as a mountain lion,yes,yes 
did he not die at the age of 55 in le croisic,yes he died at the age of 55,yes 
where did he publish his invention of the voltaic pile battery,the philosophical transactions of the royal society,the government seeks to increase its gdp contribution to 3 by 2012 
is there a chinese community in jakarta,yes,yes 
did he not determine the dependence of the boiling of water with atmospheric pressure lrb in excellent agreement with modern data rrb,yes he did,yes 
the celsius crater on the moon is what,named after him,one kind of gas obtained via a tracheal system 
is it true that coulomb leaves a legacy as a hero,yes,yes 
is       ref swahili unusual among subsaharan languages,yes,yes 
was it likely that the xylophone reached europe during the crusades,yes,yes 
how many living species of asian elephants are there,1,78 million 
has equestrianism been a long tradition popular among the tsars and aristocracy,yes,yes 
are sports in indonesia generally maleorientated and spectator sports are often associated with illegal gambling,yes,yes 
about how many square kilometers would be needed to house 3 female tigers,60,pleurodira 
where was woodrow wilson born,woodrow wilson was born in staunton virginia,paris 
what completed in november,the kunstmuseum liechtenstein,the volt 
do arabs consider literary arabic,bad question,yes 
why does jakarta suffer frequent flooding,the fact that the northern part of jakarta lies on a plain approximately eight meters above the sea level,yes 
do otters enjoy playing,yes,yes 
how many years ago did he resign his appointment as intendant de eaux et fontaine,220,pleurodira 
where was michael faraday born,newington butts,in a log cabin in summerhill new york 
where was michael faraday born,michael faraday was born in newington butts,paris 
antwerp is to the east of what river,antwerp is to the east of the scheldt river,a rich blood supply 
was his 1800  paper written in french,yes,yes 
are western flutes simpler than indian flutes,yes,no 
did uruguay host the first ever world cup,yes in 1930,yes 
what did the university of oxford grant faraday,doctor of civil law degree honorary,a luthier 
can an elephant kill a rhinoceros,yes,yes 
when was the pan flute spread to other parts of europe,after the 7th century bc,yes 
was grover cleveland the twentyseventh president of the united states,no,yes 
are there many roma in romania,no,no 
is the bass trumpet the smallest trumpet,no,no 
is 9   of the internet  population german,no,no 
how do sea otters insulate themselves,a layer of air trapped in their fur,a polar bears skin 
how does the distribution size of the leopard compare to the distribution of other wild cats,the leopard had the largest distribution of any wild cat,the city lima 
what did faraday invent that is used almost universally in science laboratories,the bunsen burner,the volt 
is santiago spanish for st james   from santo   saint    iago   james,yes,yes 
how many cymbals typically go in a drum kit,at least 3,at the battle of trenton 
what is the name of young swans,cygnets,pleurodira 
who was roosevelts presidential hero,lincoln was roosevelts presidential hero,lincoln was roosevelts presidential hero 
did faraday marry sarah barnard,yes faraday married sarah barnard,yes 
was the game of marn grook played using a ball made from kangaroo by the kurnai people,yes,yes 
what is monroe doctrine,in it monroe proclaimed the americas should be free from future european colonization and free from european interference in sovereign countries affairs it further stated the united states intention to stay neutral in european wars and wars between european powers and their colonies but to consider any new colonies or interference with independent countries in the americas as hostile acts toward the united states,in 1776 the spanish established a fort at the golden gate and a mission named for francis of assisi on the site 
why did avogadro lose his chair at the university of turin,he was active in the revolutionary movements of 1821 against the king of sardinia,yes 
what year did coolidge open his own law office,1898,1898 
did he die at 1110 pm on march 8 1874 of the aftereffects of a stroke,yes,yes 
did alessandro volta invent the remotely operated pistol,yes,yes 
what happened in the early 20th century,the koalas of south australia were largely exterminated,the volt 
is the population of wild giant  pandas growing,according to some reports yes,yes 
did lincolns wifes family support slavery,yes,yes 
is malay an agglutinative language,yes,yes 
how does the distribution size of the leopard compare to the distribution of other wild cats,as of 1996 the leopard had the largest distribution of any wild cat although populations before and since have shown a declining trend and are fragmented outside of subsaharan africa,the government seeks to increase its gdp contribution to 3 by 2012 
are indian concert flutes available in standard pitches,yes,yes 
how old was charlesaugustin de coulomb when he died,1806,53 
which state were coolidge born in,plymouth windsor county vermont,paris 
what are four species that are commonly referred to as kangaroos,the red kangaroo the eastern grey kangaroo the western grey kangaroo and the antilopine kangaroo,the federalist party 
felis pardus was what,one of the many species described in linnaeuss 18thcentury work systema naturae,a luthier 
when did his father die,his father died in 1651,1908 
in old french was the plural  for animal animals,yes,yes 
have kangaroos fared well since european s08_settlement,yes,yes 
does snow fall in egypt,yes,yes 
who was avogadros wife,felicita mazz,felicita mazzé was avogadros wife 
did horace greenley lose in the presidential elections of 1872,si,no 
when was the pan flute used in greece,the 7th century bc,no 
is the adephaga suborder larger than the polyphaga suborder,no,no 
who represented the continental congress in europe,john adams,john agyekum kufuor 
are testudines the crown group of the superorder chelonia,yes,yes 
where is the violincello held,on the shoulder,on the shoulder 
did faraday also discover the laws of electrolysis,yes faraday also discovered the laws of  electrolysis,yes 
is there one negation word in malay,no,no 
what are carleton universitys athletic teams called,carleton ravens,pleurodira 
how long was alessandro volta a professor at the university of pavia,almost 25 years,over two hundred 
is it true that thermometer had 100 for the freezing point,yes,yes 
does the de young museum house the asian art museum,no,yes 
