Question,Answer,Predictive Answer
do other landmarks include the istiqlal mosque as well as jakarta cathedral,yes,yes 
what is the primary item in an otters diet,fish,fish 
what are some economic uses for duck,meateggsfeathers,meat 
what does singa mean,lion,lion 
give an example of the highest growth rates of any city in africa,the growth rate of nairobi is currently 69  an example of the highest growth rates of any city in africa,the west irian liberation statue is one of the many sukarno era monuments in the southeast 
is there a chinese community in jakarta,yes,jakarta lies on a plain eight meters approximately eight meters above the sea level 
where was theodore roosevelt from,new york city,new york city 
did john adams go to harvard,yes,yes 
what was anders celsiuss profession,professor of astronomy,physisist 
garbage is what,garbage is now recycled or transported to thompson manitoba,one kind of gas obtained via a tracheal system 
however  are nonhuman plural nouns grammatically considered to be feminine singular,yes,roo states gaza smithsonian indonesia 
what do river otters eat,a variety of fish and shellfish as well as small land mammals and birds,a variety of fish and shellfish as well as small land mammals and birds 
what transnational bridge was completed in 2000,oresund bridge,oresund bridge 
in what year did henri becquerel win the nobel prize in physics,1903,university of turin 
was lorenzo romano amedeo carlo avogadro an italian savant,yes,yes 
does a polar bear live in the arctic,yes,yes 
is the trumpeter swan the largest bird,it is the largest bird of north america,the trumpeter swan 
how often do turtles breed,every few years or more,is 
how many years ago was it when faraday wrote a letter to the times on the subject of the foul condition of the river thames  which resulted in an oftreprinted cartoon in punch,154,is 
who s10_sets up shrines,many homes and businesses would s10_set up shrines,many congressmen 
did he share the nobel prize in physics,yes,1903 
what did the legal tender act of 1862 establish,the united states note the first paper currency in united states history,the united states note the first paper currency in united states history 
the district is bordered to the southwest by uhuru park and where,central park,is 
what is the swahili word for the swahili language,kiswahili,kiswahili is the swahili word for the swahili language 
did his mother die of pneumonia,no,no 
hassan massoudy is a master of what genre,arabic calligraphy,is 
what happened with a bromide emulsion in two sheets of very thick black paper,the plate does not become clouded upon being exposed to the sun for a day,the plate does not become clouded upon being exposed to the sun for a day 
what was given by aristotle for the hardened shield like forewings,the name coleoptera,the most of the cancioneiro geral by garcia de resende a footballer for francis 
what happened in 1865,he accepted the surrender of robert e lee,he accepted the surrender of robert e 
where was much of montreals industry during the late 19th and earlytomid 20th century,the sudouest borough was home to much of the citys industry during the late 19th and earlytomid 20th century,the sudouest borough was home to much of the citys industry during the late 19th and earlytomid 20th century 
was anders celsius november 27 1701 april 25 1744 a swedish astronomer,yes,yes 
who was blaise pascals father,his father ãtienne pascal 1588â1651 who also had an interest in science and mathematics was a local judge,his father was a shipwright ship owner and contractor and served as the towns chief yes his war george excellent snares shape lesbian farthest 
are the largest turtles aquatic,yes,adjacent benito hugo 
did lincoln beat john c breckinridge in the 1860 election,yes,yes 
is malay the official language of iraq,no,no 
what is largest polar bear on record,a huge male allegedly weighing 1002 kg 2200 lb shot at kotzebue sound in northwestern alaska in 1960,a polar bears skin 
was volta buried where he died or was he buried someplace else,yes,yes 
was taipei founded in the 18th century,yes,yes 
when did lincoln begin his political career,1832,park 
was faraday a devout christian,yes,yes 
when did roosevelt die,on january 6 1919 roosevelt died in his sleep,1916 
who was the general in charge at the battle of antietam,john alexander mcclernand,john adams 
is egypt in asia,no,no 
when did he die,1908,1908 
who manages candlestick point,california state park system,california state park system 
what is the largest ethnic minority in romania,hungarians,hungarians 
are the javanese the largest and politically dominant ethnic group in indonesia,yes,yes 
today are there more cell phone subscriptions than people in finland,yes,around 1900 bce 
are ants found in antartica,no there are no ants in antarctica,no 
is vietnam independent from france,yes,yes 
what is nassau coliseum,an arena in uniondale new york usa,an adult cougars paw print is approximately 10 cm 4 inches long 
what makes penguins so agile in the water,smooth plumage preserves a layer of air ensuring buoyancy wings are flippers,their hind feet and their tails 
when do wolves molt,late spring or early summer,is 
what is an otters den called,holt,a luthier 
did alessandro volta live to be 80 years old,no,no 
what do leptocephali eat,leptocephali eat small particles called marine snow,they often called colorado 1665 lincoln wilson roosevelts smithsonian presidential hero 
is montreals economy the third largest of all cities in canada,no montreals economy is the second largest of all cities in canada,adjacent hardin water county theyve and the drum 
why are relations with malaysia and indonesia important,due to obvious geographical reasons relations with malaysia and indonesia are most important,is 
did he experiment with individual cells,yes,us long cities air 154 taylor wilson fillmore disagreed on slavery adjacent issue new michelangelo western territories taken from mexico mexicanamerican war classical adjacent literature michelangelo adjacent began 14th 
does exposure to air cause the larva to begin breathing,yes capitalization,yes capitalization is the official administrative language by the 20th century 
what has the most effect on how a drum sounds,the drumhead,the drumhead 
who did james monroe live with in new york city,his daughter maria hester monroe gouverneur,jakarta lies on a plain eight meters approximately eight meters above the sea level 
did woodrow wilson create the league of nations,yes,no 
where is the largest gray wolf population thought to be found,kazakhstan,kazakhstan 
do many such drums have six to ten tension rods,yes,they do 
what are some annual festivals in taipei,the lantern festival tombsweeping day dragon boat festival and the midautumn festival,the largest primarily frenchspeaking city in the western world are the tiger lion and jaguar down 
is a kangaroo on the australian coat of arms,yes,adjacent plenty celsius gases outer cuticle michelangelo made 
what do river otters eat,river otters eat a variety of fish and shellfish as well as small land mammals and birds,a variety of fish smithsonian yams 
where is melbourne situated,boundary of the very hot inland areas and the cold southern ocean,boundary of the very waterresistant adjacent temperature stadtschloss 
what is the estimated population of egypt,more than 78 million,more than 78 million 
is turtle soup considered a delicacy,yes,adjacent plenty water neal college good plenty penguin plenty smithsonian perpendicular plenty 
what are the three cat species that are native to canada,the three cat species that are native to canada are the cougar the bobcat and the canadian lynx,the three heaviest cats in the world are the tiger lion and jaguar 
did johann josef loschmidt first calculate the value of avogadros number,yes,johann josef loschmidt years 
are drums often used in music therapy,yes,yes 
who is the mayor of montreal,the mayor is gãrald tremblay,the most common cymbals are the hihats crash splash ride and china 
what is the largest living species of penguin,emperor penguin,the emperor penguin aptenodytes forsteri 
are ducks an accepted presence in some populated areas,yes,yes 
had monroe racked up many debts during his years of public life,yes,ill health 
do most japanese people employ politeness,yes,yes 
is finnish an official language of the european union,yes,yes 
in what year did east timor secede from indonesia,1999,is 
is the leopard lrb panthera pardus rrb an old world mammal of the felidae family and the smallest of the four   big cats   of the genus panthera  along with the tiger  lion  and jaguar,yes,yes 
are harvesting wild turtles legal anywhere,yes,yes 
which state were coolidge born in,vermont,plymouth windsor county vermont 
can you meet someone through attending a church,yes,slide trumpets revolution caused much earthquake 
how long is polar bears guard hair,515 cm,is 
name four related articles for the article on turtles,triassic ernst haeckel kunstformen der natur animal,triassic ernst haeckel kunstformen der natur animal 
do octopuses have two eyes and four pairs of arms,yes octopuses have two eyes and four pairs of arms,1994 francisco no 
how many groups are turtles broken down into,two,two 
what was the nickname of theodore roosevelts sister anna,bamie as a child and bye as an adult,bamie as a child and bye as an adult 
who was president when wilson finished congressional government,grover cleveland,grover cleveland 
have larger kangaroos adapted much better to changes,yes,surplus adjacent southeastern michelangelo adjacent mixing smithsonian guard benito hugo government 
is the leopard one of the four big cats,yes,yes 
do sea otters have long muscular tails,no,no 
who did alessandro volta marry,teresa peregrini,elizabeth kortright 
is a guitar played with a plectrum like a lyre,yes,war 
did pascal also write in defense of the scientific method,yes,yes 
what was founded by the spanish in the early 18th century as a military stronghold,montevideo,montevideo 
are there also discussions of having oc transpo light rail and sto transitway networks linking on the gatineau side of the ottawa river,yes,antwerp is a municipality in which he might have discussed smithsonian july 4 1831 
who first calculated the value of avogadros number,johann josef loschmidt,johann josef loschmidt first calculated michelangelo president 
what languages has malay borrowed words from,arabic sanskrit tamil persian portuguese dutch certain chinese dialects and english,lacquered bamboo 
do drums consist of at least one membrane called a drumhead or drum skin that is stretched over a shell and struck either directly with parts of a players body or with some sort of implement such as a drumstick to produce sound,yes,led air more than 0 
did john adams support the stamp act of 1765,no,no 
what is avogadros number,602214199x10 23,602214199x10 23 
how many total keys does a typical modern piano have,88 keys,six 
which came first the xylophone or the vibraphone,xylophone,xylophone 
where was the oldest flute ever discovered found,germany,various parts of germany 
what is the most densely populated independent country in the world,monaco,tiger lion and jaguar 
if charlesaugustin de coulomb was alive today how old would he have been,273,is 
which two sports events did the olympiastadion host,the 1936 summer olympics and the 2006 fifa world cup final,the city and was the lower strings city 
is an official language of canada german,no it is not,no 
what roman province was liechtenstein part of,raetia,brass tubing bent twice into an oblong shape 
who is the most popular rock group in finland,cmx,cmx 
where do wolves have scent glands,between a wolfs toes,between a wolfs toes 
how long do most foxes live,most foxes live 2 to 3 years but they can survive for up to 10 years or even longer in captivity,most ants travel walking 
what is a country with which finland is involved in an international conflict,none,none 
did the media contribute 156 to singapores gdp in 2001,no,no 
where was theodore roosevelt born,a fourstory brownstone at 28 east 20th street in the modernday gramercy section of new york city,28 east 20th street in the modernday gramercy section new york city 
are penguins afraid of humans,no,no 
is the electric eel a true eel,no,no the electric eel is not a true eel 
is the purfling just for decoration,no,no 
what is the standardized form of spoken chinese,the standardized from of spoken chinese is standard mandarin,the standardized from of spoken chinese is standard mandarin 
what do river otters eat,a variety of fish and shellfish as well as small land mammals and birds,a variety of fish and shellfish as well as small land mammals and birds 
what is the definition of the electrostatic force of attraction and repulsion,coulombs law is the definition of the electrostatic force of attraction and repulsion,coulombs law is the definition of the electrostatic force of attraction and repulsion 
is egypt the most populated country in africa,no,no 
are his last words often quoted as  thomas jefferson survives,yes,yes 
what is ottawas major league hockey team,the ottawa senators,the ottawa senators 
what is the most basic form of the flute,open tube which is blown like a bottle,open tube which is blown like a bottle 
what is the name of a specialized species of duck adapted to catch large fish,the smew,the leopards ecological role 
is it the world s second largest country by total area,yes,they do not break down 
how many species of beetles are there,about 350000,13 
how heavy was the largest polar bear on record,he allegedly weighed 1002 kg,is 
where does the word otter derive from,the word otter derives from the old english word otr otor or oter,the word otter derives from the old english word otr otor or oter this and cognate words in other indoeuropean languages ultimately stem from a root which also gave rise 
in what year did germany seize tanganyika,germany seized tanganyika in 1886,is 
did james watt improve an engine,yes his improvements to the newcomen steam engine were fundamental to the changes brought by the industrial revolution,yes his improvements to the newcomen steam engine were fundamental to the changes brought by the industrial revolution 
what is located at the end of the guitar neck furthest from the body,headstock,headstock 
give an example of the official languages of the special administrative region of macau and east timor,portuguese,park 
was coolidge opposed in the republican nomination for governor of massachus08_setts in 1918,no,no 
why was the capital of uruguay founded,uruguays capital montevideo was founded by the spanish in the early 18th century as a military stronghold,is 
what are some economic uses for duck,being farmed for their meat eggs feathers particularly their down,meat 
how is south china linguistically different from north china,south china displays more linguistic diversity,south china displays water married air be increased 
did theodore roosevelt go to harvard,yes,yes 
was charlesaugustin de coulomb a spanish biologist,no,no he was english 
what was amedeo avogadros profession,professor of physics,physisist 
did the economy improve in jakarta in 2007,yes,arable 
with what party did adams run for presidency,the federalist party,the federalist party 
is finnish an official language of the european union,yes finnish is an official language of the european union,yes adjacent continued michelangelo very waterresistant adjacent low 
who wrote about ants in a tramp abroad,mark twain wrote about ants,mark twain 
what is the origin of the name santiago,sanit  iago james,santiago is spanish for st james it is also the name of a baseball catcher a film an economist a footballer a dj an actor and james son of zebedee 
did faraday lecture on education in 1854,yes,yes 
is singapore a citystate,yes,yes 
what are the reasons for hunting wild ducks,meat eggs and feathers,meat eggs and feathers 
is it the world s fourth most populous country and the most populous muslimmajority nation,yes,yes 
what is the sanskrit word for swan,hamsa or hansa,hamsa or hansa 
when did john adams serve as vice president,17891797,march 1861 
are wolves built for stamina,yes,yes 
are violinists and fiddlers the same thing,yes,yes 
where is michael faraday buried,michael faraday is buried in the dissenters section of highgate cemetery,michael faraday was born in newington butts 
did lincoln sign the national banking act of 1863,yes,yes 
does vietnamese have a large number of vowels,yes vietnamese has a comparatively large number of vowels,yes vietnamese has a comparatively large number is in the city and was was born in newington butts 
where is the leopard distributed,southern eurasia and africa,southern eurasia and africa 
what are most electric guitar bodies made of,wood,brass 
in 1908 the year  of his death was becquerel elected permanent secretary  of the acadãmie  des  sciences,yes,adjacent female got seward michelangelo adjacent elected water senate mechanism war upright pianos only managed plain waterresistant adjacent temperature time wilson adjacent crater form moon predatory ancestors 
where was commodore matthew c perry sent to open japan to western trade,commodore matthew c perry send to japan,commodore matthew c perry send to japan 
has urbanization eliminated many areas of former primary rainforest  with the only remaining area of primary rainforest being bukit timah nature reserve,yes,yes 
does swahili have dipthongs,yes swahili has diphthongs typo,yes 
is melbourne the capital and most populous city in the state of victoria,yes,yes 
who assassinated lincoln,john wilkes booth,john agyekum kufuor 
what are the three sections of a beetle,the head the thorax and the abdomen,the head the thorax and the abdomen 
what is the second main orchestral use of cymbals,the suspended cymbal,the suspended cymbal 
what are the names of the two zoos in berlin,zoologischer garten berlin and tierpark friedrichsfelde,zoologischer smithsonian agyekum war 
approximately how many species of testudines are alive today,300,park 
whats the main highway in ottawa,highway 417 the queensway,is 
what are some common predators of ducks,pike crocodilians and other aquatic hunters,meat eggs and feathers 
who dismantled partisan and sectional coalitions,many congressmen,henri becquerel 
loschmidt calculated first the value of what,avogadros number,chinese 
was another primary objective of fillmore to preserve the union from the intensifying slavery debate,yes,yes 
are upright pianos called vertical pianos,yes,yes 
did charlesaugustin de coulomb live to be 80 years old,no,no 
who took a hard line that reduced violence by groups like the ku klux klan,grant,grant 
where was much of montreals industry during the late 19th and earlytomid 20th century,the sudouest borough was home to much of the citys industry during the late 19th and earlytomid 20th century,the sudouest borough was home to much of the citys industry during the late 19th and earlytomid 20th century 
what had the anglosaxons created by the 600s,a new s09_settlement called lundenwic,by the 600s the anglosaxons had created a new s09_settlement called lundenwic 
did amedeo avogadro graduate,yes,18th century 
who boasted a sizeable community of 100000 by 1869,british india office,british india 
who has its own political legislature and governor,each province,each smithsonian traditionally hairs wilson adjacent strike michelangelo adjacent lay michelangelo adjacent sudan michelangelo adjacent border person relatively warm transposing sound piano 
can citizens propose changes to the constitution,yes,yes people are allowed to challenge laws 
does the world conservation union consider the cougar a least concern species,the world conservation union iucn currently lists the cougar as a least concern species,the world conservation union iucn currently lists the early 18th century 
what does the word duck mean,to bend down low as if to get under something,to defend against predators 
why does arabic heavily influence european languages,arabic was a major vehicle of culture in europe and the arab and european civilizations are geographically close,park highest valleys crash part college quebec smithsonian citywindsor 
did albert einstein keep a photograph of faraday on his study wall,yes,1994 francisco 1776 college air his smithsonian perpendicular plenty of prey animals smithsonian kunstformen excellent adjacent triassic called professor years henri anticommunist all war der anticommunist natur animal 
why is it beneficial for alpha males and females to forcefully prevent other wolves from mating,the pack tension rises as each mature wolf feels urged to mate,a pack can only suppport one littler per year 
how many municipalities is liechtenstein divided into,11,fortyone 
does the koala fill the same ecological role as the sloth of south america,the koala fills the same ecological role as the sloth of south america,the hands or pullanguzhal 
where is the james watt memorial college,the james watt memorial  is in greenock,in greenock 
is there a more industrialized region in malaysia,no,no 
what is a violin called informally,a fiddle,cantegriles 
does ghana have twice the per capita output of the poorer countries in west africa,yes,children which 
do carrion beetles eat dung,no,no 
what are deposited in holes dug into mud or sand,eggs,eggs 
copenhagen is ranked number one worldwide for which things,most livable city in the world,most city college adjacent 59 
is an asian elephant smaller than an african elephant,yes,adjacent mud sand michelangelo partido 
is the kangaroo an herbivour,yes,americas 
is the study of beetles called coleopterology  and its practitioners are coleopterists,yes,yes 
whose ideas inspired charlesaugustin de coulombs experiments on the resistance of masonries,pieter van musschenbroek,is 
who was the sponsor and mentor of faraday,john mad jack fuller,john agyekum 
is it true that japanese borrowed a considerable number of words,yes,yes 
as of august 1st 2006 how many trains stop daily at the beijing railway station or the beijing west railway station,167,167 
was isaac newton british,yes,yes he was english 
where is the mouth of an octopus,the octopus mouth is at the center point of the arms,the mouth of an octopus is at the center point of the arms 
who heavily influenced the architecture and culture of montevideo,european immigrants,european immigrants 
wasnt leonardo da vinci valued as an engineer,no,no 
when did islam become the dominant religion in java and sumatra,by the end of the 16th century,by the end of the old portuguese period was marked by the publication word otr otor new york city college adjacent sudan the new patriotic party and national democratic congress 
is it advantageous for a grand pianos metal plate to be quite massive,yes,it is advantageous for the plate to be quite massive 
had the drums been used in sri lanka since before christ,yes,allowing kl grand prix csi 1832 
is the ant a marsupial,no,no 
is it true that he shared the nobel prize in physics,yes,1903 
what is an example of something an octopus learned in a research experiment,in research experiments octopus can be trained to distinguish between different shapes and patterns,in research 
did his mother die of pneumonia,no,no 
is a kangaroo a reptile,no,no 
is liechtenstein heavily urbanized,no,no 
is it true that france signed the european charter for regional languages,yes,yes 
was nairobi founded in 1899,yes,yes 
what does the air stream across this hole create,a bernoulli or siphon,a polar bears fur provides camouflage fred 
who was born precisely at midnight during an electrical storm  to a serbian family in the village of smiljan near gospiä  in the lika region of the croatian krajina in military frontier  part of the austrian empire   in the presentday croatia,nikola tesla,god 
how long is a leopards tail,60 to 110cm,60110cm 
do all ants build nests,no not all ants build nests,no there are no ants in antarctica 
what is the name of the largest church in montreal,saint josephs oratory is the largest church in montreal,saint josephs oratory is the largest church in montreal 
is he best known for cofounding the cubist movement and for the wide variety of styles embodied in his work,yes,its strategic managed 
what happened in recent years,his reputation as president has improved,his reputation as president taylor and fillmore disagreed on slavery adjacent issue new michelangelo western territories taken from mexico mexicanamerican war classical adjacent literature michelangelo adjacent began 14th 
do all ducks quack,no,no 
when do african elephants lie down,when they are sick or wounded,two long tours 
are books magazines and newspapers written in english available,yes,yes 
what is the arabic word for municipalities,baladiyah,baladiyah 
what do leptocephali eat,marine snow,they often feed on plants and fungi break down animal and plant debris and eat other invertebrates 
why did lincoln issue the emancipation proclamation,the goal was to weaken the rebellion which was led and controlled by slave owners,to free slaves 
does the gendarmenmarkt border the french cathedral,yes the gendarmenmarkt borders the french cathedral,the revolution is spoken in northern norway 
did alessandro volta die and retire in the same place,yes,alessandro volta was a professor at university of turin 
what airports does kuala lumpur have,kuala lumpur international airport and subang international airport,kuala lumpur international airport 
what was grants political affiliation,republican,republican 
is romania lrb  rrb a country in southeastern europe,yes,yes 
was watt a gentleman greatly respected by other prominent men of the industrial revolution,yes,yes 
does the diet of foxes include reptiles,yes,yes 
what is the population of copenhagen,1161063,1153615 
how are westernstyle xylophones characterised,by a bright sharp tone and high register,by a bright sharp tone and high register 
when did john adams serve as vice president,17891797,march 1861 
is modern korean written in columns or rows,it is written in rows,it is not clear 
where is old ghana in relation to present ghana,500 miles north of the present ghana and occupied the area between rivers senegal and niger,park highest valleys crash part college quebec smithsonian citywindsor 
is lima the capital of peru,yes,wilson fathered 
interaction with what man stirred up newtons interest in alchemy,the contact with the theosophist henry more revived his interest in alchemy,the slide down snowy slopes apparently for sheer enjoyment 
give an example of the largest stadiums anywhere in the world and the home to fc zenit st petersburg in 19501993 and 1995,kirov stadium now demolished was one of the largest stadiums anywhere in the world and the home to fc zenit st petersburg in 19501993 and 1995,is 
where was woodrow wilson born,staunton virginia,woodrow wilson was born in staunton virginia 
where is there a newton statue on display,oxford university museum of natural history,oxford university museum of natural history 
what are cymbals made of,brass,brass tubing 
did the moche people worship lobsters,yes,adjacent christianity scale reversed 
when did the first educational works appear for the cello,the 18th century,the 18th century 
is volta buried in the city of pittsburgh,no,no 
what did james monroe do before being elected governor,he practiced law in virginia,he invented a new method of measuring distances by telescope a device for copying letters improvements in the oil lamp a steam mangle and a machine for copying letters improvements 
is the asian elephant larger than the african,sometimes,three 
how many living species of asian elephants are there,one,13 
who laid out a street plan for the expanded s10_settlement,william richardson and alcalde francisco de haro,william richardson and alcalde francisco 1776 will belgium captain 
is schloss charlottenburg the largest existing palace in berlin,schloss charlottenburg is the largest existing palace in berlin,schloss charlottenburg is the largest primarily frenchspeaking city in the western world is paris 
what is the remarkable millard fillmore,a fake biography based on real events that happened in fillmores life,a fake biography based on real events that happened in fillmores life 
how many years ago was it when he discovered that the optical properties of gold colloids differed from those of the corresponding bulk metal,162,162 
how did fillmore ascend to the presidency,official white house portrait of millard fillmorefillmore ascended to the presidency upon the sudden and unexpected death of president taylor in july 1850,upon the death of the sitting president taylor 
how are new words formed in malay,three methods,four 
who showed that avogadros theory held in dilute solutions,jacobus henricus van hoff,jacobus henricus van t hoff showed that avogadros theory holds twenties adjacent sudan octopus species 
is the flamenco guitar similar to the classical guitar,yes,respective cover 
why may english translation of koreans adjectives misleadingly suggest that they are verbs,english does not have an identical grammatical category,is 
does the production of chemical weapons raise an ethical issue,yes,yes 
did charlesaugustin de coulomb find any relationship between electric charges and magnetic poles,no,no 
was michael faraday an english chemist,yes,yes 
is a drake a male,yes,war have smithsonian ability lion jaguar down 
where were immigrants from in the 1800s,irish,irish 
how does poverty in san francisco compare to the nationwide average,the citys poverty rate is 118 and the number of families in poverty stands at 74 both lower than the national average,is 
was abraham lincoln the sixteenth president of the united states,yes,no 
what is the earliest historical reference in europe,arnold schlicks spiegel der orgelmacher und organisten,arnold schlicks spiegel der orgelmacher und organisten 
is watt commemorated by statuary in george square glasgow and princes street edinburgh,yes,adjacent mud sand michelangelo partido 
what are the similarities between beetles and grasshoppers,beetles have mouthparts similar to those of grasshoppers,beetles have mouthparts smithsonian agyekum happened 
what expired on march,monroes presidency,monroes presidency 
what makes penguins so agile in the water,their wings have become flippers,their hind feet and their tails 
how much do sea otters weigh,30 kg about 65 pounds,is 
has the new zealand rugby league featured the otahuhu leopards and then the tamaki leopards,yes,adjacent mud sand michelangelo partido 
how long has the basic design of the drum remained unchanged,thousands of years,thousands of years 
when was newtons date of birth recorded,christmas day decembeer 25 1642,park air larger nathaniel michelangelo phoebe war millard fillmore disagreed on slavery adjacent issue new michelangelo western territories taken from mexico mexicanamerican war george excellent adjacent 46 college habitat vary 
how many people speak the arabic language,280 million people,is 
is the leopard an old world mammal,yes,wilson cook naturalist sir adjacent joseph michelangelo banks michelangelo eleven smithsonian way eleven 
is nassau range the highest mountain range in the world,no,three 
how many years after cleveland left office did the us win the spanishamerican war,one year,one smithsonian two 
what district was ford elected from,michigans 5th congressional district,lacquered bamboo 
are drums usually played by the hands,yes,yes 
where was theodore roosevelt born,28 east 20th street in the modernday gramercy section of new york city,28 east 20th street in the city college of san francisco 
why do kangaroos have a wide bite,because of grazing,is 
are cellos constructed with glue,yes,yes 
was volta taught in public schools,yes,volta was taught in public schools 
what shape are a leopards black ros08_settes in east africa,circular,circular 
are beetles endopterygotes with complete metamorphosis,yes,yes 
is one of the parts of a cymbal called a disc,no,no 
what is also the distance that antarctic tourists are told to keep from penguins,3 meters,3 meters 
is the aburukuwa a type of drum,yes,yes 
what is an effective way to accentuate a note,the combination of a clash cymbol being accompanied by a bass drum playing an identical part played loudly,the combination of a mixture of chitin and specialized proteins 
are violas and cellos in the same family of instruments as violins,yes,yes 
what is the caridoid escape reaction,when lobsters swim backwards quickly by curling and uncurling their abdomen,when twenties air taylor wilson shipwright adjacent ship owner contractor and served as the towns chief baillie 
is it true that singapore has several long  standing disputes with malaysia,yes,yes 
where was isaac newton born,at woolsthorpe manor in woosthorpebycolsterworth,at woolsthorpe manor in woosthorpebycolsterworth 
did lincoln have 18 months of schooling,yes,arabic liturgical a language family 
where are there small portuguesespeaking communities,former overseas colonies of portugal such as macau and east timor,former overseas colonies of portugal such as macau and east timor 
when did james monroe introduce the monroe doctrine,december 2 1823,in it monroe proclaimed the americas should be denied in the face of a baseball catcher a film director a guitarist an economist a footballer a dj an actor james 
which nation invaded singapore during world war ii,japan,during world war ii the imperial japanese army invaded malaya culminating in the battle of singapore 
where was grover cleveland married,in the white house,in the white house 
what had the anglosaxons created by the 600s,by the 600s the anglosaxons had created a new s09_settlement called lundenwic,by the 600s the anglosaxons had created a new s09_settlement called lundenwic 
did he publish his work,yes,its tongue is held on the shoulder steam engine 
what types of unrelated water birds with similar forms are ducks sometimes confused with,loons or divers grebes gallinules and coots,loons or divers grebes gallinules and coots 
do older pianos have more keys than modern pianos,many older pianos only have 85 keys,many congressmen 
appreciated during his lifetime did his fame grow in the years after his death,yes,adjacent highly michelangelo adjacent religious unorthodox war christian malayu example wilson tributary 
are elephants mammals,yes,yes 
did he advise the british government on the production of chemical weapons for use in the crimean war,no,no 
of what state was coolidge governor,massachus08_setts,massachus08_setts 
what do some historians of science refer to faraday as,the best experimentalist in the history of science,best experimentalist in the history of science 
are vowels never reduced  regardless of stress,yes,yes 
do ducks forage underwater,diving ducks and sea ducks forage underwater,diving ducks and sea ducks forage underwater 
is uruguays capital montevideo,yes,yes 
is the main sport in uruguay football,yes,yes 
which is the subsaharan indigenous language with the greatest number of speakers,hausa,hausa 
according to readers digest is finland best for living,yes,california state 
did the occult influence newtons theory of gravitation,if newton had not relied on the occult idea of action at a distance he might not have developed his theory of gravity,if newton had not relied on the occult idea of action at a distance he might not have developed his theory of gravity 
was lee kuan yew a successful leader of singapore,yes,yes 
the trumpet can be confused with what close relative,the cornet,the city lima 
what is the national language in malaysia,malay,malay 
did the dutch build the elmina castle,no,no 
was celsius born in uppsala in sweden,yes,yes 
was henri becquerel one of the discoverers of radioactivity,yes,yes 
are the most active in damascus and cairo,bad question,bad question 
are canada s official national sports ice hockey  winter  and lacrosse  summer,yes,yes 
who did president lincoln promote of major general in the regular army effective july 4,grant,grant 
what is the largest religious group in canada,according to 2001 census 771 of canadians identified as being christians of this catholics make up the largest group 436 of canadians the largest protestant denomination is the united church of canada about 165 of canadians declare no religious affiliation and the remaining 63 were affiliated with religions other than christianity of which the largest is islam numbering 19 followed by judaism 11,according to 2001 census 771 of canadians identified as being christians of this name include connecticut water zones francisco has the highest percentage of gay and lesbian individuals 
is it a winter sports resort  although it is perhaps best known as a tax haven,yes,adjacent highly michelangelo adjacent sudan water 
what prompted the city to upgrade its building codes,earthquakes,earthquakes 
how do qatar and the wider region relate,qatar is aiming to become a role model for economic and social transformation in the region large scale investment in all social and economic sectors will also lead to the development of a strong financial market,is 
where did charlesaugustin de coulomb die,charlesaugustin de coulomb died in paris,charlesaugustin de coulomb died in paris 
what are young swans known as,cygnets,best experimentalist in the battle of singapore 
how many long was lincolns formal education,18 months,18 months 
is the trumpeter swan the largest bird,the trumpeter swan is the largest bird of north america,the largest primarily frenchspeaking city in the western world is paris 
what is a resident of melbourne known as,a melburnian,a melburnian 
what is the irish legend of the children of lir about,a stepmother transforming her children into swans for 900 years,a polar bears skin 
is a cougar also known as a mountain lion,yes,yes 
did he not die at the age of 55 in le croisic,yes he died at the age of 55,he accepted the theory of an external magnetic field aligned in the direction the light is moving 
where did he publish his invention of the voltaic pile battery,the philosophical transactions of the royal society,the philosophical of water they are food to beetles 
is there a chinese community in jakarta,yes,jakarta has been borrowed from chinese 
did he not determine the dependence of the boiling of water with atmospheric pressure lrb in excellent agreement with modern data rrb,yes he did,he thought it was designed to gain land open woodlands 
the celsius crater on the moon is what,named after him,one kind of gas obtained via a tracheal system 
is it true that coulomb leaves a legacy as a hero,yes,yes 
is       ref swahili unusual among subsaharan languages,yes,yes 
was it likely that the xylophone reached europe during the crusades,yes,yes 
how many living species of asian elephants are there,1,13 
has equestrianism been a long tradition popular among the tsars and aristocracy,yes,adjacent europe 1814 wilson father 
are sports in indonesia generally maleorientated and spectator sports are often associated with illegal gambling,yes,yes 
about how many square kilometers would be needed to house 3 female tigers,60,park 
where was woodrow wilson born,woodrow wilson was born in staunton virginia,woodrow wilson was born in staunton virginia 
what completed in november,the kunstmuseum liechtenstein,the leopards ecological role as the sloth of south america 
do arabs consider literary arabic,bad question,air fake biography based real events smithsonian agyekum happened 
why does jakarta suffer frequent flooding,the fact that the northern part of jakarta lies on a plain approximately eight meters above the sea level,the slide down snowy slopes apparently war ii michelangelo the western world cup final 
do otters enjoy playing,yes,yes 
how many years ago did he resign his appointment as intendant de eaux et fontaine,220,220 
where was michael faraday born,newington butts,michael faraday was born in newington butts 
where was michael faraday born,michael faraday was born in newington butts,michael faraday was born in newington butts 
antwerp is to the east of what river,antwerp is to the east of the scheldt river,antwerp is in belgium 
was his 1800  paper written in french,yes,yes 
are western flutes simpler than indian flutes,yes,no 
did uruguay host the first ever world cup,yes in 1930,in 1665 
what did the university of oxford grant faraday,doctor of civil law degree honorary,doctor of civil law degree honorary 
